ids,Datasets,best_node.mean,best_node.sd,elite_nn.mean,elite_nn.sd,linear_discr.mean,linear_discr.sd,naive_bayes.mean,naive_bayes.sd,one_nn.mean,one_nn.sd,random_node.mean,random_node.sd,worst_node.mean,worst_node.sd
1075,datatrieve_1075.csv,0.9230769230769231,0.05128205128205128,0.8846153846153847,0.06537204504606135,0.8769230769230768,0.039722906114947894,0.8076923076923077,0.0830864192103572,0.8384615384615385,0.04366509324596512,0.9153846153846155,0.024325212770526013,0.9000000000000001,0.05191911982388869
35,dermatology_35.csv,0.4480480480480481,0.03331769841971299,0.3087087087087087,0.03582828559156596,,,,,,,0.3801051051051051,0.06141291044718217,0.3363363363363364,0.05052204867508097
37,diabetes_37.csv,0.7175495557074505,0.04223791061255697,0.623838004101162,0.06656896636938761,0.7734962406015038,0.036540402856012844,0.7564935064935066,0.034824118651366746,0.6796650717703349,0.05890507604429617,0.635475051264525,0.043170921714839966,0.6497607655502392,0.046191851282160426
818,diggle_table_a2_818.csv,1.0,0.0,1.0,0.0,0.8999999999999998,0.13120923407123958,0.7935483870967742,0.22255726852464958,0.8806451612903224,0.14269104858093448,1.0,0.0,0.5870967741935484,0.11359236684941296
45712,doa_bwin_balanced_45712.csv,0.6073843058350101,0.059204492028294545,0.5467404426559356,0.07151074204140562,0.6216096579476862,0.06686644102473635,0.5297183098591549,0.03572057328077286,0.584708249496982,0.056833201225764955,0.5325553319919516,0.04191938831244122,0.5154929577464789,0.023892977746477886
45604,dummy_45604-copy.csv,0.7470000000000001,0.04620004810002306,0.6779999999999999,0.053913510984415276,0.9740,0.014298407059684822,0.9230,0.014181364924121732,0.9269999999999999,0.021628170930011095,0.7270,0.004830458915396484,0.7270,0.004830458915396484
944,echoMonths_944.csv,,,,,,,,,,,,,,
1011,ecoli_1011.csv,0.8806595365418894,0.053537711067247355,0.8046345811051694,0.1476824674016414,0.9672014260249556,0.026156616526638393,0.6620320855614972,0.16155050482076883,0.9283422459893046,0.04774574125531014,0.7960784313725491,0.18875753176554833,0.5744206773618539,0.012062306625467496
1472,energy-efficiency_1472.csv,0.15498974709501026,0.01033485388930666,0.057279562542720444,0.02385795917430193,0.5194805194805194,0.06176276783185777,0.507758031442242,0.08267110786777268,0.4998291182501708,0.0713137858389824,0.10683526999316473,0.01407763271061262,0.0963773069036227,0.00707412836466622
188,eucalyptus_188.csv,0.4880044427989634,0.053620574380470666,,,,,,,,,0.2608478341355054,0.04153433390232769,0.2962236208811551,0.01723006114037984
1473,fertility_1473.csv,0.8800000000000001,0.04216370213557838,0.7300000000000001,0.2057506581601462,0.8300000000000001,0.08232726023485648,0.8,0.10540925533894599,0.7999999999999999,0.13333333333333336,0.8800000000000001,0.04216370213557838,0.8800000000000001,0.04216370213557838
285,flags_285.csv,0.3763157894736842,0.033928209834760914,0.1955263157894737,0.044660237130448165,0.6086842105263158,0.10325608466931768,0.5710526315789474,0.11792292896004256,0.37605263157894736,0.11372055137154172,0.3094736842105263,0.008153649149910349,0.2894736842105263,0.047595298127194846
904,fri_c0_1000_50_904.csv,0.6799999999999999,0.03944053188733075,0.6010,0.04817791102892602,0.8089999999999999,0.03381321240777534,0.8470000000000001,0.03497618237219913,0.6290,0.059151406482761563,0.5349999999999999,0.03836954811073779,0.5020,0.03011090610836325
888,fri_c0_500_50_888.csv,0.7140,0.05337498373666157,0.6360,0.06653319973266478,0.8340,0.050815570667092025,0.8,0.06599663291074442,0.63,0.09392668535736913,0.46799999999999997,0.04825856285561028,0.48599999999999993,0.04325634186002224
837,fri_c1_1000_50_837.csv,0.7240000000000001,0.05316640543300504,0.6950,0.03659083066683357,0.6490,0.05152130088074683,0.6750,0.039510898637098994,0.5740000000000001,0.0377712412645741,0.5450,0.007071067811865481,0.5550,0.02321398046197351
